уi,ax,ay,bx,by,err_px
393,1080.688,1087.292,1080.640,1087.026,0.2707
394,1140.983,1087.529,1141.005,1087.270,0.2607
395,1201.954,1087.976,1201.826,1087.678,0.3239
396,1262.129,1088.452,1262.213,1088.133,0.3295
397,1323.260,1089.027,1323.242,1088.768,0.2589
398,1383.771,1089.734,1383.785,1089.493,0.2413
399,1445.042,1090.557,1444.850,1090.360,0.2750
400,1505.870,1091.585,1505.728,1091.146,0.4614
401,1567.170,1092.493,1567.094,1092.380,0.1365
402,1628.425,1093.557,1628.270,1093.360,0.2504
403,1689.877,1094.853,1689.819,1094.682,0.1806
404,1751.516,1096.182,1751.505,1095.963,0.2191
405,165.428,1160.157,165.365,1159.959,0.2082
406,227.267,1158.613,227.377,1158.467,0.1826
407,288.886,1157.216,288.999,1156.998,0.2455
408,350.420,1155.920,350.459,1155.772,0.1527
409,411.905,1154.782,412.000,1154.647,0.1649
410,472.858,1153.718,472.935,1153.517,0.2155
411,534.350,1152.857,534.344,1152.616,0.2411
412,594.862,1152.041,594.978,1151.798,0.2685
413,656.180,1151.324,656.300,1151.071,0.2802
414,716.603,1150.773,716.603,1150.540,0.2329
415,777.776,1150.282,777.751,1150.032,0.2514
416,838.092,1150.060,838.208,1149.786,0.2976
417,898.949,1149.818,898.947,1149.568,0.2500
418,959.458,1149.818,959.523,1149.594,0.2337
419,1020.147,1149.850,1020.218,1149.569,0.2897
420,1080.684,1150.025,1080.771,1149.750,0.2880
421,1141.724,1150.420,1141.660,1150.110,0.3159
422,1202.030,1150.815,1202.087,1150.568,0.2543
423,1263.338,1151.367,1263.213,1151.109,0.2868
424,1323.670,1151.956,1323.630,1151.787,0.1738
425,1385.156,1152.815,1385.043,1152.597,0.2453
426,1445.868,1153.787,1445.846,1153.542,0.2458
427,1507.402,1154.774,1507.280,1154.570,0.2376
428,1568.536,1155.925,1568.418,1155.786,0.1834
429,1630.103,1157.233,1630.077,1157.088,0.1476
430,1691.861,1158.570,1691.683,1158.414,0.2369
431,1753.630,1160.101,1753.557,1160.008,0.1192
432,162.875,1225.134,162.910,1225.082,0.0624
433,224.998,1223.381,225.024,1223.370,0.0287
434,286.816,1221.833,286.873,1221.729,0.1188
435,348.812,1220.411,348.732,1220.299,0.1381
436,410.064,1219.073,410.111,1218.938,0.1422
437,471.912,1217.935,472.009,1217.658,0.2940
438,532.698,1216.794,532.742,1216.665,0.1368
439,594.366,1215.909,594.408,1215.729,0.1847
440,655.033,1215.185,654.986,1214.954,0.2364
441,716.344,1214.565,716.447,1214.312,0.2737
442,776.785,1214.013,776.897,1213.808,0.2344
443,838.012,1213.748,838.028,1213.502,0.2468
444,898.650,1213.505,898.682,1213.258,0.2490
445,959.529,1213.420,959.477,1213.130,0.2949
446,1020.280,1213.536,1020.206,1213.296,0.2509
447,1081.276,1213.690,1081.270,1213.484,0.2062
448,1141.686,1214.058,1141.745,1213.848,0.2185
449,1203.201,1214.559,1202.987,1214.376,0.2815
450,1263.457,1215.237,1263.533,1214.982,0.2654
451,1325.249,1215.915,1325.159,1215.777,0.1642
452,1385.832,1216.872,1385.746,1216.638,0.2491
453,1447.661,1217.899,1447.545,1217.744,0.1932
454,1508.593,1219.111,1508.567,1218.922,0.1905
455,1570.548,1220.476,1570.459,1220.307,0.1910
456,1632.197,1221.819,1632.031,1221.661,0.2291
457,1694.050,1223.446,1694.053,1223.423,0.0232
458,1756.283,1225.048,1756.178,1225.097,0.1149
459,159.684,1291.828,159.594,1291.689,0.1666
460,221.953,1289.773,222.107,1289.776,0.1534
461,284.401,1288.102,284.516,1287.844,0.2826
462,346.269,1286.357,346.350,1286.299,0.1005
463,408.636,1284.690,408.585,1284.589,0.1130
464,469.673,1283.487,469.795,1283.293,0.2287
465,531.897,1282.096,531.929,1282.066,0.0435
466,592.500,1281.109,592.604,1281.001,0.1506
467,654.639,1280.320,654.585,1280.054,0.2719
468,715.081,1279.557,715.076,1279.423,0.1341
469,776.734,1279.063,776.733,1278.778,0.2845
470,837.324,1278.676,837.436,1278.441,0.2602
471,898.618,1278.410,898.619,1278.155,0.2554
472,959.419,1278.292,959.422,1278.084,0.2078
473,1020.577,1278.366,1020.614,1278.081,0.2883
474,1081.338,1278.595,1081.295,1278.356,0.2432
475,1142.926,1278.988,1142.795,1278.765,0.2591
476,1203.285,1279.554,1203.306,1279.380,0.1750
477,1264.988,1280.289,1264.919,1280.133,0.1710
478,1325.604,1281.152,1325.703,1281.032,0.1564
479,1387.857,1282.269,1387.876,1282.143,0.1271
480,1448.692,1283.476,1448.628,1283.360,0.1332
481,1511.057,1284.842,1510.916,1284.675,0.2182
482,1572.344,1286.271,1572.336,1286.429,0.1584
483,1634.820,1288.031,1634.709,1287.997,0.1161
484,1696.767,1289.773,1696.893,1289.749,0.1285
485,1759.461,1291.780,1759.459,1291.817,0.0370
486,155.489,1360.886,155.528,1360.732,0.1590
487,218.636,1358.266,218.503,1358.406,0.1935
488,281.091,1356.296,281.114,1356.247,0.0542
489,343.874,1354.145,343.880,1354.183,0.0386
490,405.522,1352.442,405.568,1352.368,0.0873
491,468.463,1350.796,468.318,1350.835,0.1498
492,529.268,1349.401,529.296,1349.372,0.0403
